id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1,Bitcoin,BTC,bitcoin,12042,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve']",21000000.0,19853881.0,19853881.0,False,,1,,,,2025-04-20T13:04:00.000Z,84359.12391058433,15320379262.294373,19.6871,0.21519238,-1.03970564,-0.06825381,1.05963807,-12.36915771,-21.11356351,1674856007384.9958,62.874,1771541602122.27,,2025-04-20T13:04:00.000Z,,,,,,2025-04-20 14:07:14.437491
1027,Ethereum,ETH,ethereum,10139,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve']",,120705595.03435563,120705595.03435563,True,,2,,,,2025-04-20T13:03:00.000Z,1575.5491693097322,8320566887.525642,34.4905,0.14819776,-1.27796236,-1.83224721,-19.00796468,-41.86912193,-52.35646949,190177599987.41592,7.1393,190177599987.42,,2025-04-20T13:03:00.000Z,,,,,,2025-04-20 14:07:14.437491
825,Tether USDt,USDT,tether,124752,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio']",,144640112843.016,148032435818.71515,True,,3,,,,2025-04-20T13:03:00.000Z,1.0000531598994888,36988440227.91562,13.5271,0.00906071,0.01009303,0.03286207,0.05682425,0.02056477,0.11532042,144647801896.87677,5.4301,148040305208.12,,2025-04-20T13:03:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-04-20 14:07:14.437491
52,XRP,XRP,xrp,1591,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve']",100000000000.0,58394167593.0,99986232255.0,False,,4,,,,2025-04-20T13:04:00.000Z,2.0520930790188325,1576350858.65615,-4.9523,0.39952511,-1.36406054,-6.01665112,-13.46646332,-20.83087614,-36.98424658,119830267172.6611,4.4984,205209307901.88,,2025-04-20T13:04:00.000Z,,,,,,2025-04-20 14:07:14.437491
1839,BNB,BNB,bnb,2475,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,140890835.93,140890835.93,False,,5,,,,2025-04-20T13:03:00.000Z,591.2240310810824,1297385316.3608162,1.298,0.2118595,0.4856994,0.61207258,-6.44822324,-9.61297354,-14.30503608,83298047960.91801,3.127,83298047960.92,,2025-04-20T13:03:00.000Z,,,,,,2025-04-20 14:07:14.437491
5426,Solana,SOL,solana,900,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve']",,516758727.851042,598876144.2835358,True,,6,,,,2025-04-20T13:04:00.000Z,136.83071507592362,2784635870.2438946,13.9678,0.31674636,-1.31917782,5.34012862,8.51411845,-20.50559021,-46.15256074,70708466253.58269,2.6544,81944651064.23,,2025-04-20T13:04:00.000Z,,,,,,2025-04-20 14:07:14.437491
3408,USDC,USDC,usd-coin,27220,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio']",,60901217984.4344,60901217984.4344,False,,7,,,,2025-04-20T13:03:00.000Z,0.9999667177016727,4446067390.06789,3.8134,-0.00052857,-0.00118714,-0.00450485,-0.01033909,-0.00244496,-0.0074746,60899191051.92895,2.2862,60899191051.93,,2025-04-20T13:03:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-04-20 14:07:14.437491
1958,TRON,TRX,tron,1164,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio']",,94949559184.40598,94949568300.32094,True,,8,,,,2025-04-20T13:04:00.000Z,0.24536617091941973,403104348.81948245,-1.6389,0.3245821,1.00125882,-0.78545141,4.43280846,0.96113345,3.20408696,23297409767.564514,0.8746,23297412004.3,,2025-04-20T13:04:00.000Z,,,,,,2025-04-20 14:07:14.437491
74,Dogecoin,DOGE,dogecoin,1207,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'ftx-bankruptcy-estate', 'made-in-america']",,148930896383.70526,148930896383.70526,True,,9,,,,2025-04-20T13:04:00.000Z,0.1542616345388894,542929159.4069417,7.2382,0.59327313,-2.27779678,-6.54002878,-7.21164305,-39.15520976,-58.37712112,22974323509.492344,0.8625,22974323509.49,,2025-04-20T13:04:00.000Z,,,,,,2025-04-20 14:07:14.437491
2010,Cardano,ADA,cardano,1506,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve']",45000000000.0,35290300162.92753,44994927344.927155,False,,10,,,,2025-04-20T13:04:00.000Z,0.615512906458126,363714593.242045,-6.9021,0.17019354,-1.8186926,-5.47697177,-12.9666531,-19.43793229,-41.58630037,21721635223.063198,0.8154,27698080790.62,,2025-04-20T13:04:00.000Z,,,,,,2025-04-20 14:07:14.437491
